"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n","module"
"B1.F1",0.321,0.321,199,0.3583,0.395181386423182,50,"module4"
"B1.F2",0.3588,0.3588,200,0.3906,0.399754528777803,49,"module4"
"B1.F3",0.4159,0.4159,199,0.1978,0.168728291316527,50,"module4"
"B1.F4",0.3464,0.3464,199,0.4155,0.432748019907082,50,"module4"
"B1.F5",0.2926,0.2926,199,0.5423,0.493076579967896,50,"module4"
"B2.F1",0.3872,0.3872,200,0.2502,0.195343165377574,49,"module4"
"B2.F2",0.3405,0.3405,199,0.3845,0.390842812106818,50,"module4"
"B2.F3",0.3251,0.3251,199,0.3412,0.315869589370737,50,"module4"
"B2.F4",0.3391,0.3391,199,0.3791,0.362758963798491,50,"module4"
"B2.F5",0.3568,0.3568,199,0.4129,0.350112410278474,50,"module4"
"B3.F1",0.3313,0.3313,199,0.4947,0.521402445168801,50,"module4"
"B3.F2",0.3067,0.3067,200,0.457,0.378775885718458,49,"module4"
"B3.F3",0.3695,0.3695,199,0.3609,0.322489593311029,50,"module4"
"B3.F4",0.3655,0.3655,199,0.3016,0.241621727270961,50,"module4"
"B3.F5",0.4077,0.4077,199,0.2144,0.2008028093808,50,"module4"
"B4.F1",0.3431,0.3431,199,0.3663,0.291944410871383,50,"module4"
"B4.F2",0.3335,0.3335,199,0.3527,0.326248388954429,50,"module4"
"B4.F3",0.3486,0.3486,199,0.3637,0.401841533730956,50,"module4"
"B4.F4",0.3694,0.3694,200,0.3411,0.310156396572929,49,"module4"
"B4.F5",0.3692,0.3692,199,0.3987,0.311158642254294,50,"module4"
"B5.F1",0.3463,0.3463,200,0.3942,0.386720385878609,49,"module4"
"B5.F2",0.3472,0.3472,199,0.3411,0.277599915002076,50,"module4"
"B5.F3",0.3692,0.3692,199,0.3418,0.302198000668512,50,"module4"
"B5.F4",0.3196,0.3196,199,0.4049,0.320244981109327,50,"module4"
"B5.F5",0.3473,0.3473,199,0.3867,0.376417824849998,50,"module4"
"B6.F1",0.3253,0.3253,200,0.4475,0.434959066721244,49,"module4"
"B6.F2",0.2745,0.2745,199,0.6054,0.632260058457413,50,"module4"
"B6.F3",0.3856,0.3856,199,0.2892,0.236057012113716,50,"module4"
"B6.F4",0.3673,0.3673,199,0.3679,0.305059541130702,50,"module4"
"B6.F5",0.3969,0.3969,199,0.1924,0.171760371219587,50,"module4"
"B7.F1",0.3335,0.3335,199,0.401,0.402520464197973,50,"module4"
"B7.F2",0.3968,0.3968,199,0.2498,0.235425392448596,50,"module4"
"B7.F3",0.3616,0.3616,200,0.3172,0.2156191423938,49,"module4"
"B7.F4",0.3043,0.3043,199,0.474,0.405398399294298,50,"module4"
"B7.F5",0.3363,0.3363,199,0.3011,0.322424438750969,50,"module4"
"B8.F1",0.3232,0.3232,200,0.4589,0.431595907089811,49,"module4"
"B8.F2",0.4257,0.4257,199,0.2357,0.201377651805377,50,"module4"
"B8.F3",0.3587,0.3587,199,0.3689,0.316436725519335,50,"module4"
"B8.F4",0.3564,0.3564,199,0.3954,0.359816033881413,50,"module4"
"B8.F5",0.3201,0.3201,199,0.5354,0.48937817204804,50,"module4"
"B9.F1",0.3538,0.3538,199,0.3424,0.302599345077136,50,"module4"
"B9.F2",0.3407,0.3407,199,0.3271,0.247484199159116,50,"module4"
"B9.F3",0.3578,0.3578,199,0.3769,0.318060307901099,50,"module4"
"B9.F4",0.3046,0.3046,199,0.4378,0.426083209635693,50,"module4"
"B9.F5",0.3641,0.3641,200,0.271,0.225963753968486,49,"module4"
"B10.F1",0.3414,0.3414,199,0.2762,0.238204077016531,50,"module4"
"B10.F2",0.3435,0.3435,200,0.4092,0.340193458240877,49,"module4"
"B10.F3",0.3134,0.3134,199,0.4486,0.318617104798935,50,"module4"
"B10.F4",0.3348,0.3348,199,0.4327,0.36299129680914,50,"module4"
"B10.F5",0.4018,0.4018,199,0.1937,0.161887889273356,50,"module4"
"B11.F1",0.337,0.337,199,0.3576,0.342730152762132,50,"module4"
"B11.F2",0.3327,0.3327,199,0.3758,0.315687101071831,50,"module4"
"B11.F3",0.4022,0.4022,199,0.1818,0.11926042576531,50,"module4"
"B11.F4",0.2909,0.2909,200,0.5867,0.623970621158306,49,"module4"
"B11.F5",0.3664,0.3664,199,0.2909,0.332553386814443,50,"module4"
"B12.F1",0.3122,0.3122,199,0.4385,0.466980352891517,50,"module4"
"B12.F2",0.408,0.408,199,0.2416,0.202078695068511,50,"module4"
"B12.F3",0.3475,0.3475,200,0.3783,0.351563133354543,49,"module4"
"B12.F4",0.3391,0.3391,199,0.4421,0.406603793609796,50,"module4"
"B12.F5",0.3312,0.3312,199,0.4248,0.393412432216754,50,"module4"
"B13.F1",0.3113,0.3113,199,0.4241,0.406862047486623,50,"module4"
"B13.F2",0.3651,0.3651,199,0.3224,0.272331598985979,50,"module4"
"B13.F3",0.3688,0.3688,199,0.3161,0.296732209243814,50,"module4"
"B13.F4",0.3225,0.3225,199,0.5074,0.470590176373361,50,"module4"
"B13.F5",0.3695,0.3695,200,0.3335,0.281078662108357,49,"module4"
"B14.F1",0.3612,0.3612,199,0.3294,0.284376298282661,50,"module4"
"B14.F2",0.2931,0.2931,199,0.5139,0.49879325437424,50,"module4"
"B14.F3",0.3525,0.3525,200,0.3431,0.297864870381711,49,"module4"
"B14.F4",0.3865,0.3865,199,0.3304,0.320786621162982,50,"module4"
"B14.F5",0.3249,0.3249,199,0.484,0.411259275340932,50,"module4"
"B15.F1",0.3201,0.3201,200,0.5442,0.458970609149583,49,"module4"
"B15.F2",0.3761,0.3761,199,0.3152,0.253408983262917,50,"module4"
"B15.F3",0.4532,0.4532,199,0.1137,0.0963964357951761,50,"module4"
"B15.F4",0.3457,0.3457,199,0.396,0.371656252688666,50,"module4"
"B15.F5",0.3005,0.3005,199,0.5648,0.527757321687694,50,"module4"
"B16.F1",0.3785,0.3785,199,0.3009,0.269747850350208,50,"module4"
"B16.F2",0.3676,0.3676,200,0.4208,0.392173980112985,49,"module4"
"B16.F3",0.3406,0.3406,199,0.4231,0.380059143865099,50,"module4"
"B16.F4",0.3646,0.3646,199,0.291,0.241618063896229,50,"module4"
"B16.F5",0.3253,0.3253,199,0.4143,0.351373001725943,50,"module4"
"B17.F1",0.377,0.377,199,0.3114,0.275650232612863,50,"module4"
"B17.F2",0.3096,0.3096,200,0.5218,0.490029775655834,49,"module4"
"B17.F3",0.3759,0.3759,199,0.2569,0.252480357103187,50,"module4"
"B17.F4",0.3433,0.3433,199,0.3981,0.345974303584152,50,"module4"
"B17.F5",0.3694,0.3694,199,0.2583,0.222505683370029,50,"module4"
"B18.F1",0.3803,0.3803,200,0.2933,0.235279526732226,49,"module4"
"B18.F2",0.3024,0.3024,199,0.5428,0.468571594759804,50,"module4"
"B18.F3",0.3845,0.3845,199,0.3357,0.276003387759139,50,"module4"
"B18.F4",0.3126,0.3126,199,0.5142,0.509175619527016,50,"module4"
"B18.F5",0.4032,0.4032,199,0.2043,0.16550942466883,50,"module4"
"B19.F1",0.3343,0.3343,199,0.4246,0.410642787231894,50,"module4"
"B19.F2",0.3367,0.3367,199,0.3995,0.36514270940212,50,"module4"
"B19.F3",0.3518,0.3518,199,0.3468,0.331973133016725,50,"module4"
"B19.F4",0.3765,0.3765,200,0.2852,0.244870953284276,49,"module4"
"B19.F5",0.3184,0.3184,199,0.3654,0.226899065321875,50,"module4"
"B20.F1",0.3139,0.3139,199,0.4962,0.474546610803445,50,"module4"
"B20.F2",0.3536,0.3536,200,0.422,0.411559933838455,49,"module4"
"B20.F3",0.3502,0.3502,199,0.3952,0.328367891372922,50,"module4"
"B20.F4",0.4225,0.4225,199,0.2034,0.180155815004359,50,"module4"
